============= Dilithium-I
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=8380417
dim = 2049, m = 1024, dvol = 15614.21931724470, β = 423.4283

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 1, threads = 4, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2.
 
 index:        2, (  50,   4): (  50,   1) --> (1499,   1), goal index:      662, cost =
 index:        3, (  52,   4): (  52,   1) --> (1499,   1), goal index:      667, cost =
 index:        4, (  54,   4): (  54,   1) --> (1499,   1), goal index:      676, cost =
 index:        5, (  56,   4): (  56,   1) --> (1499,   1), goal index:      678, cost =
 index:        6, (  52,   4): (  52,   1) --> (1499,   1), goal index:      680, cost =
 index:        7, (  54,   4): (  54,   1) --> (1499,   1), goal index:      675, cost =
 index:        8, (  54,   4): (  54,   1) --> (1499,   1), goal index:      683, cost =
 index:        9, (  56,   4): (  56,   1) --> (1499,   1), goal index:      685, cost =
 index:       10, (  56,   4): (  56,   1) --> (1499,   1), goal index:      697, cost =
 index:     1274, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2064, cost =
 index:     1275, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2066, cost =
 index:     1276, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2068, cost =
 index:     1277, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2053, cost =
 index:     1278, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2057, cost =
 index:     1279, ( 115,   7): ( 115,   4) --> (1499,   1), goal index:     2032, cost =
 index:     1280, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2055, cost =
 index:     1281, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2075, cost =
 index:     1282, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2044, cost =
 index:     1283, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2062, cost =
 index:     1284, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2035, cost =
 index:     1285, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2055, cost =
 index:     1286, ( 115,   7): ( 115,   4) --> (1499,   1), goal index:     2076, cost =
 index:     1287, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2093, cost =
 index:     1288, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2054, cost =
 index:     1289, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2073, cost =
 index:     1290, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2088, cost =
 index:     1291, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2088, cost =
 index:     1292, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2091, cost =
 index:     1293, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2109, cost =
 index:     1294, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2049, cost =
 index:     1295, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2052, cost =
 index:     1296, ( 115,   7): ( 115,   4) --> (1499,   1), goal index:     2050, cost =
 index:     1297, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2074, cost =
 index:     1298, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2094, cost =
 index:     1299, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2063, cost =
 index:     1300, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2081, cost =
 index:     1301, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2098, cost =
 index:     1302, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2110, cost =
 index:     1303, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2124, cost =
 index:     1304, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2126, cost =
 index:     1305, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2129, cost =
 index:     1306, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2139, cost =
 index:     1307, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2080, cost =
 index:     1308, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2096, cost =
 index:     1309, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2109, cost =
 index:     1310, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2067, cost =
 index:     1311, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2066, cost =
 index:     1312, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2069, cost =
 index:     1313, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2092, cost =
 index:     1314, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2111, cost =
 index:     1315, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2127, cost =
 index:     1316, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2128, cost =
 index:     1317, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2131, cost =
 index:     1318, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2087, cost =
 index:     1319, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2101, cost =
 index:     1320, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2118, cost =
 index:     1321, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2128, cost =
 index:     1322, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2145, cost =
 index:     1323, ( 115,   4): ( 115,   1) --> (1499,   1), goal index:     2147, cost =
 index:     1324, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2075, cost =
 index:     1325, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2078, cost =
 index:     1326, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2103, cost =
 index:     1327, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2084, cost =
 index:     1328, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2104, cost =
 index:     1329, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2120, cost =
 index:     1330, ( 117,   7): ( 117,   4) --> (1499,   1), goal index:     2139, cost =
 index:     1331, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2156, cost =
 index:     1332, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2081, cost =
 index:     1333, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2085, cost =
 index:     1334, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2106, cost =
 index:     1335, ( 117,   7): ( 117,   4) --> (1499,   1), goal index:     2089, cost =
 index:     1336, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2114, cost =
 index:     1337, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2131, cost =
 index:     1338, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2091, cost =
 index:     1339, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2116, cost =
 index:     1340, ( 117,   7): ( 117,   4) --> (1499,   1), goal index:     2096, cost =
 index:     1341, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2119, cost =
 index:     1342, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2133, cost =
 index:     1343, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2123, cost =
 index:     1344, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2100, cost =
 index:     1345, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2119, cost =
 index:     1346, ( 117,   7): ( 117,   4) --> (1499,   1), goal index:     2101, cost =
 index:     1347, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2124, cost =
 index:     1348, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2143, cost =
 index:     1349, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2133, cost =
 index:     1350, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2109, cost =
 index:     1351, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2124, cost =
 index:     1352, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2145, cost =
 index:     1353, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2149, cost =
 index:     1354, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2152, cost =
 index:     1355, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2113, cost =
 index:     1356, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2113, cost =
 index:     1357, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2132, cost =
 index:     1358, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2155, cost =
 index:     1359, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2160, cost =
 index:     1360, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2164, cost =
 index:     1361, ( 118,   7): ( 118,   4) --> (1499,   1), goal index:     2123, cost =
 index:     1362, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2145, cost =
 index:     1363, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2160, cost =
 index:     1364, ( 117,   4): ( 117,   1) --> (1499,   1), goal index:     2157, cost =
 index:     1365, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2124, cost =
 index:     1366, ( 118,   7): ( 118,   4) --> (1499,   1), goal index:     2127, cost =
 index:     1367, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2153, cost =
 index:     1368, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2169, cost =
 index:     1369, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2168, cost =
 index:     1370, ( 119,   7): ( 119,   4) --> (1499,   1), goal index:     2174, cost =
 index:     1371, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2191, cost =
 index:     1372, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2201, cost =
 index:     1373, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2202, cost =
 index:     1374, ( 118,  10): ( 118,   7) --> (1499,   1), goal index:     2141, cost =
 index:     1375, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2133, cost =
 index:     1376, ( 118,   7): ( 118,   4) --> (1499,   1), goal index:     2158, cost =
 index:     1377, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2162, cost =
 index:     1378, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2178, cost =
 index:     1379, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2143, cost =
 index:     1380, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2160, cost =
 index:     1381, ( 119,   7): ( 119,   4) --> (1499,   1), goal index:     2183, cost =
 index:     1382, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2198, cost =
 index:     1383, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2201, cost =
 index:     1384, ( 118,   7): ( 118,   4) --> (1499,   1), goal index:     2148, cost =
 index:     1385, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2174, cost =
 index:     1386, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2190, cost =
 index:     1387, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2193, cost =
 index:     1388, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2196, cost =
 index:     1389, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2213, cost =
 index:     1390, ( 119,   7): ( 119,   4) --> (1499,   1), goal index:     2212, cost =
 index:     1391, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2225, cost =
 index:     1392, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2226, cost =
 index:     1393, ( 119,   7): ( 119,   4) --> (1499,   1), goal index:     2163, cost =
 index:     1394, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2187, cost =
 index:     1395, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2206, cost =
 index:     1396, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2210, cost =
 index:     1397, ( 119,  10): ( 119,   7) --> (1499,   1), goal index:     2206, cost =
 index:     1398, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2164, cost =
 index:     1399, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2183, cost =
 index:     1400, ( 119,   7): ( 119,   4) --> (1499,   1), goal index:     2206, cost =
 index:     1401, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2221, cost =
 index:     1402, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2223, cost =
 index:     1403, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2222, cost =
 index:     1404, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2240, cost =
 index:     1405, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2232, cost =
 index:     1406, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2234, cost =
 index:     1407, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2235, cost =
 index:     1408, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2220, cost =
 index:     1409, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2223, cost =
 index:     1410, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2180, cost =
 index:     1411, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2197, cost =
 index:     1412, ( 119,   7): ( 119,   4) --> (1499,   1), goal index:     2181, cost =
 index:     1413, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2207, cost =
 index:     1414, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2226, cost =
 index:     1415, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2229, cost =
 index:     1416, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2224, cost =
 index:     1417, ( 120,   7): ( 120,   4) --> (1499,   1), goal index:     2232, cost =
 index:     1418, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2249, cost =
 index:     1419, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2249, cost =
 index:     1420, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2234, cost =
 index:     1421, ( 120,   7): ( 120,   4) --> (1499,   1), goal index:     2252, cost =
 index:     1422, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2236, cost =
 index:     1423, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2239, cost =
 index:     1424, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2253, cost =
 index:     1425, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2269, cost =
 index:     1426, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2251, cost =
 index:     1427, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2198, cost =
 index:     1428, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2198, cost =
 index:     1429, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2215, cost =
 index:     1430, ( 120,   7): ( 120,   4) --> (1499,   1), goal index:     2238, cost =
 index:     1431, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2255, cost =
 index:     1432, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2246, cost =
 index:     1433, ( 120,   7): ( 120,   4) --> (1499,   1), goal index:     2262, cost =
 index:     1434, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2266, cost =
 index:     1435, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2272, cost =
 index:     1436, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2271, cost =
 index:     1437, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2274, cost =
 index:     1438, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2274, cost =
 index:     1439, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2259, cost =
 index:     1440, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2261, cost =
 index:     1441, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2258, cost =
 index:     1442, ( 119,   4): ( 119,   1) --> (1499,   1), goal index:     2255, cost =
 index:     1443, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2212, cost =
 index:     1444, ( 120,   7): ( 120,   4) --> (1499,   1), goal index:     2214, cost =
 index:     1445, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2242, cost =
 index:     1446, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2259, cost =
 index:     1447, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2262, cost =
 index:     1448, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2257, cost =
 index:     1449, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2264, cost =
 index:     1450, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2274, cost =
 index:     1451, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2287, cost =
 index:     1452, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2274, cost =
 index:     1453, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2292, cost =
 index:     1454, ( 120,  10): ( 120,   7) --> (1499,   1), goal index:     2294, cost =
 index:     1455, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2223, cost =
 index:     1456, ( 120,   7): ( 120,   4) --> (1499,   1), goal index:     2248, cost =
 index:     1457, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2253, cost =
 index:     1458, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2269, cost =
 index:     1459, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2233, cost =
 index:     1460, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2250, cost =
 index:     1461, ( 121,   7): ( 121,   4) --> (1499,   1), goal index:     2273, cost =
 index:     1462, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2289, cost =
 index:     1463, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2280, cost =
 index:     1464, ( 121,   7): ( 121,   4) --> (1499,   1), goal index:     2296, cost =
 index:     1465, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2296, cost =
 index:     1466, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2283, cost =
 index:     1467, ( 120,   7): ( 120,   4) --> (1499,   1), goal index:     2238, cost =
 index:     1468, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2263, cost =
 index:     1469, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2280, cost =
 index:     1470, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2283, cost =
 index:     1471, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2286, cost =
 index:     1472, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2303, cost =
 index:     1473, ( 121,   7): ( 121,   4) --> (1499,   1), goal index:     2302, cost =
 index:     1474, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2315, cost =
 index:     1475, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2317, cost =
 index:     1476, ( 121,   7): ( 121,   4) --> (1499,   1), goal index:     2251, cost =
 index:     1477, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2274, cost =
 index:     1478, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2293, cost =
 index:     1479, ( 121,  10): ( 121,   7) --> (1499,   1), goal index:     2290, cost =
 index:     1480, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2252, cost =
 index:     1481, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2269, cost =
 index:     1482, ( 121,   7): ( 121,   4) --> (1499,   1), goal index:     2292, cost =
 index:     1483, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2308, cost =
 index:     1484, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2312, cost =
 index:     1485, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2312, cost =
 index:     1486, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2329, cost =
 index:     1487, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2321, cost =
 index:     1488, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2322, cost =
 index:     1489, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2323, cost =
 index:     1490, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2309, cost =
 index:     1491, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2312, cost =
 index:     1492, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2268, cost =
 index:     1493, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2286, cost =
 index:     1494, ( 121,   7): ( 121,   4) --> (1499,   1), goal index:     2270, cost =
 index:     1495, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2296, cost =
 index:     1496, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2313, cost =
 index:     1497, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2310, cost =
 index:     1498, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2319, cost =
 index:     1499, ( 122,   7): ( 122,   4) --> (1499,   1), goal index:     2332, cost =
 index:     1500, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2345, cost =
 index:     1501, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2332, cost =
 index:     1502, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2351, cost =
 index:     1503, ( 122,   7): ( 122,   4) --> (1499,   1), goal index:     2359, cost =
 index:     1504, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2330, cost =
 index:     1505, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2331, cost =
 index:     1506, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2346, cost =
 index:     1507, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2362, cost =
 index:     1508, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2338, cost =
 index:     1509, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2285, cost =
 index:     1510, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2285, cost =
 index:     1511, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2305, cost =
 index:     1512, ( 122,   7): ( 122,   4) --> (1499,   1), goal index:     2328, cost =
 index:     1513, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2346, cost =
 index:     1514, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2336, cost =
 index:     1515, ( 122,   7): ( 122,   4) --> (1499,   1), goal index:     2353, cost =
 index:     1516, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2351, cost =
 index:     1517, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2353, cost =
 index:     1518, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2339, cost =
 index:     1519, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2344, cost =
 index:     1520, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2355, cost =
 index:     1521, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2351, cost =
 index:     1522, ( 121,   4): ( 121,   1) --> (1499,   1), goal index:     2351, cost =
 index:     1523, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2298, cost =
 index:     1524, ( 122,   7): ( 122,   4) --> (1499,   1), goal index:     2300, cost =
 index:     1525, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2328, cost =
 index:     1526, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2344, cost =
 index:     1527, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2341, cost =
 index:     1528, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2348, cost =
 index:     1529, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2364, cost =
 index:     1530, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2351, cost =
 index:     1531, ( 126,  10): ( 126,   7) --> (1499,   1), goal index:     2367, cost =
 index:     1532, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2381, cost =
 index:     1533, ( 122,  10): ( 122,   7) --> (1499,   1), goal index:     2379, cost =
 index:     1534, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2308, cost =
 index:     1535, ( 122,   7): ( 122,   4) --> (1499,   1), goal index:     2331, cost =
 index:     1536, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2335, cost =
 index:     1537, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2352, cost =
 index:     1538, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2316, cost =
 index:     1539, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2335, cost =
 index:     1540, ( 123,   7): ( 123,   4) --> (1499,   1), goal index:     2357, cost =
 index:     1541, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2373, cost =
 index:     1542, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2364, cost =
 index:     1543, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2359, cost =
 index:     1544, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2364, cost =
 index:     1545, ( 122,   7): ( 122,   4) --> (1499,   1), goal index:     2322, cost =
 index:     1546, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2348, cost =
 index:     1547, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2366, cost =
 index:     1548, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2369, cost =
 index:     1549, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2371, cost =
 index:     1550, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2373, cost =
 index:     1551, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2374, cost =
 index:     1552, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2334, cost =
 index:     1553, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2355, cost =
 index:     1554, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2378, cost =
 index:     1555, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2397, cost =
 index:     1556, ( 123,  10): ( 123,   7) --> (1499,   1), goal index:     2383, cost =
 index:     1557, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2337, cost =
 index:     1558, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2356, cost =
 index:     1559, ( 123,   7): ( 123,   4) --> (1499,   1), goal index:     2378, cost =
 index:     1560, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2395, cost =
 index:     1561, ( 126,  10): ( 126,   7) --> (1499,   1), goal index:     2393, cost =
 index:     1562, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2408, cost =
 index:     1563, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2405, cost =
 index:     1564, ( 126,  10): ( 126,   7) --> (1499,   1), goal index:     2400, cost =
 index:     1565, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2418, cost =
 index:     1566, ( 126,  10): ( 126,   7) --> (1499,   1), goal index:     2406, cost =
 index:     1567, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2410, cost =
 index:     1568, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2351, cost =
 index:     1569, ( 126,  10): ( 126,   7) --> (1499,   1), goal index:     2379, cost =
 index:     1570, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2375, cost =
 index:     1571, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2353, cost =
 index:     1572, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2372, cost =
 index:     1573, ( 124,  10): ( 124,   7) --> (1499,   1), goal index:     2396, cost =
 index:     1574, ( 126,  10): ( 126,   7) --> (1499,   1), goal index:     2414, cost =
 index:     1575, ( 125,  10): ( 125,   7) --> (1499,   1), goal index:     2417, cost =
 index:     1576, ( 126,  10): ( 126,   7) --> (1499,   1), goal index:     2411, cost =
